"Recommendation_1","Recommendation_2","Recommendation_3","Recommendation_4","Recommendation_5","Recommendation_6","Recommendation_7","Recommendation_8","Recommendation_9","Recommendation_10"
"1400031346","0767905180","1573225789","0688177859","0060987561","0440998050","0385504209","038082101X","0553574574","0312278586"
"0060928336","0515131229","0385484518","0684195984","068484267X","0805063897","0684872153","0440223202","0316601950","0446610100"
"0060512822","0446520802","0446679593","0345427637","0140280553","0345465083","038548951X","0393317552","0375702709","0312421273"
"0425169693","0345348109","0140177396","0684853507","0689817851","0385492081","0449213943","0156528207","0553274295","0553296981"
"0684853507","0380018179","0385730586","055321313X","0064407667","0553258001","0802139256","0151008116","0374199698","0446310786"
"0671038443","0064401847","0440180295","0441005489","0441790348","0413537900","0553274503","0553579754","044022165X","0316666343"
"0142004235","0452282152","1592400876","0061097101","0156528207","0553274295","0553296981","0446670251","0142000663","0805062971"
"0060916508","0064400557","0142004235","0553250426","0156528207","0553274295","0091867770","0312422156","0345348036","0385509456"
"0439136369","0671027573","0375705856","0671027387","0446520802","0446611808","0671034006","0312274920","0375506039","039592720X"
"0440225701","0440241073","0671004107","0553572997","0064400557","0316781010","0553250426","0446605484","0316601950","1592400876"
"0440215625","0451163524","0553580191","0380813815","038531258X","0385722435","0767900383","0446310786","0310205719","0440224764"
"0385721420","0449005615","0425189031","0316168688","0345427637","0440414806","0684857820","0440439884","0142001740","0440215625"
"0440998050","0060915544","080410753X","155874262X","0671011367","0385484518","0451160525","0671003755","0312924585","0345384466"
"0140067477","0441172717","0684801523","0399144463","0515131229","0425122123","0449002632","0515132020","051513287X","0670880728"
"0441790348","0894803204","089480829X","0451167716","0142001430","1558745157","0385479565","0060976845","0140179836","0743227441"
"0679723161","0684801221","0894803204","0451163524","0451166582","0553580191","0812511816","0345444884","0385492081","0064407675"
"0425169693","059035342X","0142004235","0316781010","0380002930","0451166892","0684853507","0689817851","0064400557","0553274295"
"0440215625","0451142934","0451163524","0451166582","0553580191","0812511816","0345370775","0425180964","0425132048","0743418174"
"0345361792","0441003257","0451160525","0451190491","0684853523","0142000663","0061015725","0385492081","0385509456","0440180295"
"0894803204","0451142934","0451163524","0451166582","0553580191","0812511816","0440223202","0064400557","0142004235","0316781010"
"0671617028","0440236738","0451151259","0451524934","0345339703","0345339711","0345339738","0684853523","0553258001","0590353403"
"0451526341","0671617028","0142001740","0451524934","0060391626","0060987561","0375756981","0553208845","0553278355","0385504209"
"0064407667","0064407675","0446608955","0684853507","0451160525","0440215625","0451142934","0451163524","0451166582","0553580191"
"0142004235","0375500510","0140177396","0439139597","0375725849","0804111359","1573228214","0552131059","0142001740","0449005615"
"034540288X","0688177751","0140293248","0140298479","0060928336","0515131229","0590353403","0312265840","0345339681","0345339738"
"0440222656","043935806X","0743437640","0142004235","0679745203","0684872153","0425147622","0452284449","0679781587","0767907817"
"0451526341","0440221471","0064471047","0451524934","0345384466","0449002632","0553348981","0375725849","0671880314","0671617028"
"0060930187","0451169530","1592400876","0385503954","0099387913","0380002930","044022103X","0312305060","1573229571","0679444815"
"0671617028","044022103X","0670865796","0670894605","1576737330","0553274295","0451151259","0451524934","0440439884","0451526341"
"0446602620","0385722192","0375400117","068484477X","0345392825","0385492081","0399501487","0446310786","0804108749","0142001740"
"0064472272","0345465083","1400031354","0312976275","0312980140","0440215625","0061015725","0064407667","0380018179","0385730586"
"0877017883","0451169530","0375703861","0452260116","0804114986","0440202043","0446610100","043935806X","0553279378","0385492081"
"0786867647","0142001740","0446611808","0345438329","0440212561","0446610399","0553296981","0385505833","1558745718","0380710218"
"0671042262","0312978367","0440414806","0446605409","0515122734","0440998050","0345361792","0439064872","0679720200","0345342968"
"0451142934","0451163524","0451166582","0553580191","0451160525","0451190491","0684853523","0441005489","0811825558","0142000663"
"0671021001","0440998050","0345361792","0060512822","0060987561","0440236738","0553208845","0684874350","0380728133","0380813815"
"0060916508","0553274295","0345348109","0894803204","089480829X","0140177396","039592720X","0452282152","0425147622","0446310786"
"0064401847","0440180295","0441790348","0553579754","0451151259","0671617028","0380813815","038531258X","0385722435","0767900383"
"0060928336","0609804138","1558745157","068483376X","0552131059","0312195516","0451169530","0449212602","0452282152","0316969443"
"0142004235","0345465083","0553572997","0064401847","0440180295","0441005489","0441790348","0440236738","1400031354","0679772677"
"0385721420","0449005615","0440414806","0684857820","0446310786","0609608444","0375412824","0385503857","0066214122","0812550706"
"0156027321","0449912558","0099387913","1592400876","0385722435","0066214122","0385509510","0618002227","140003065X","0812550706"
"0887307876","0142001740","0373218036","0446611808","0515136530","0671034006","3257229534","0345337662","0312983271","0515136379"
"0441790348","0842329129","0140298479","0670880728","0061009059","0312971346","0312976275","089480829X","0060391626","0060987561"
"0425147622","0060929871","0375700757","0553348981","0060958022","0385503954","0312971346","0440234743","0671011375","0142002267"
"0451526341","0671617028","0312291639","0440219078","0590353403","0743224574","0743227441","1931561648","0786868716","0345427637"
"0064407675","0446608955","0684853507","0312305060","0440215625","0451142934","0451166582","0553580191","0812511816","044651652X"
"0743237188","0553250426","0446609404","0142002267","0312265867","0345445848","0446607711","0553564528","1400034779","0553213105"
"0060987561","0671021001","0441790348","0345438329","0671038443","0609804138","0842329129","0060958022","0385503954","038082101X"
"0449212602","0142004235","0452282152","0670894605","080410753X","1592400876","0061097101","0156528207","0553274295","0553296981"
"0441790348","0142000663","0679723161","0684801221","0060929790","0345353145","0375725849","0439139597","0345342968","0553348981"
"0525947647","0446610100","068483376X","0151008116","006092988X","0062502182","039592720X","1400031346","0061097314","0070212570"
"0380002930","0553274503","0553579754","0553213148","0345384466","0385484518","0446605239","0385504209","0451156609","0316969680"
"0684857820","0345416260","0452266564","0786868716","0064471047","0140067477","0380813815","039480001X","0394820371","0440498058"
"0385492081","0441304834","0375703764","0375700757","0553348981","0140042393","0385479565","0440967694","0451169530","059035342X"
"0553579754","038548951X","0446605484","0380813815","0060929790","038531258X","0345392825","0399501487","0451526341","0804108749"
"0345342968","0553348981","0449219364","0449221482","0449221490","0515131229","0553280368","0553284789","0688170528","1551668998"
"0446310786","0345361792","0525947647","0028604199","0345348036","0440108268","0679735909","0804105820","0804114986","0451142934"
"0345413350","044900371X","089480829X","0060929790","0380813815","038531258X","0061097101","0451524934","015100692X","0385484518"
"0375504397","1400031346","006101351X","0440226430","0441172717","0312995423","0439136369","0439139600","043936213X","0446608890"
"0345447840","059035342X","0786868716","0064401847","0440180295","0441005489","0441790348","0671880314","0345391055","0373218400"
"0312291639","0385424728","0440219078","0440220602","0452281903","0590353403","0743224574","0786868716","1931561648","0060929871"
"0446606189","0671042262","089480829X","074322535X","0440225701","0440241073","0064400557","0142004235","0316781010","0671041789"
"0060391626","0142001740","0375500510","0743460529","0441790348","0142001430","1400031346","0553348981","014100018X","0312265859"
"0345366239","0375703764","0142004235","0316781010","0805063897","1592400876","0684848783","0449213943","0345339703","0345339738"
"0060915544","0385504209","0670032379","0671003755","0446601241","0553573403","0786868716","0553348981","0671729411","0060930535"
"0142001740","0385424728","0440220602","0452281903","0743227441","0786868716","1931561648","0440241073","0064400557","0142004235"
"044022103X","0064401847","0440180295","0441005489","0441790348","074343627X","0670894605","0091867770","0330262130","0330375253"
"0375707972","0440439884","0553562614","0684801221","0804114986","0142001430","0345416260","0345435249","0452283442","0875421180"
"044900371X","0441304834","0385265700","059035342X","0441172717","068483376X","006000438X","0060934417","0060987103","0312144075"
"0064407675","0684853507","0743437640","0440221471","0451160525","0064400557","0142004235","0316781010","0553250426","0679781587"
"0446605409","0515122734","0525947647","0842329129","0842329250","0375506276","0449005615","0385721420","0425174271","0446613266"
"037570504X","0060938455","0446310786","0553274295","0894803204","089480829X","0525947647","0877017883","0440225701","0064400557"
"0517122707","014028009X","0312422156","0446530522","0142001740","0385474016","0452264464","0688170528","0316603287","0345417623"
"0399143947","0440214041","0060929790","0439136369","0439139597","0553273914","0671880314","0060392452","0345348036","0440108268"
"0441304834","0446675059","0380012863","0385504209","0440220602","0446523569","0452282152","043935806X","0062502182","015100692X"
"0060915544","0385498802","0385504209","0670032379","0671003755","0316781266","038572179X","1400031346","0452282152","0345402871"
"0316666343","0399143947","0385508417","0440439884","0316168815","155874262X","0345334531","0446310786","055321313X","0553213148"
"0064407667","0064407675","0446608955","0684853507","044022103X","0684801523","1558531025","044651652X","0060929790","0380813815"
"0385504209","0842342702","080410526X","0804105820","0156027321","0440439884","0380717018","006092988X","0345350499","0375706771"
"0061015725","0064407667","0380018179","0385730586","055321313X","0316969443","0345361792","0743225082","0743439740","076790592X"
"0767905180","0316168815","0345348109","0441172717","0142004235","0446364193","0140280553","0345465083","0446310786","0802130208"
"0684857820","0671617028","038548951X","0446605484","0452266564","0345348036","0440108268","0451160525","0804114986","0345361792"
