"Recommendation_1","Recommendation_2","Recommendation_3","Recommendation_4","Recommendation_5","Recommendation_6","Recommendation_7","Recommendation_8","Recommendation_9","Recommendation_10"
"Ender's Game (Ender Wiggins Saga (Paperback))","Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation","The Saving Graces: A Novel","A Time to Kill","Of Mice and Men (Penguin Great Books of the 20th Century)","Prey","The Bad Beginning (A Series of Unfortunate Events, Book 1)","The Thorn Birds","Sisterhood of the Traveling Pants","The Tao of Pooh"
"The Bad Beginning (A Series of Unfortunate Events, Book 1)","The Reptile Room (A Series of Unfortunate Events, Book 2)","A Walk to Remember","BAG OF BONES : A NOVEL","Dragonfly in Amber","Skeleton Crew","The Eyes of the Dragon","The Eye of the World (The Wheel of Time, Book 1)","Girl with a Pearl Earring","OLD MAN AND THE SEA"
"The Bell Jar : A Novel (Perennial Classics)","Into Thin Air : A Personal Account of the Mt. Everest Disaster","The Clan of the Cave Bear (Earth's Children (Paperback))","Animal Farm","Anne of Avonlea (Anne of Green Gables Novels (Paperback))","The Color Purple","Seabiscuit","East of Eden (Oprah's Book Club)","The Fourth Hand","Holes (Yearling Newbery)"
"To Kill a Mockingbird","Where the Red Fern Grows",NA,"Snow Crash","Middlesex: A Novel","The Book of Ruth (Oprah's Book Club (Paperback))","The Secret Life of Bees","Good in Bed","Nickel and Dimed: On (Not) Getting By in America","The Notebook"
"The Firm","The Rainmaker","Redwall (Redwall, Book 1)","Along Came a Spider (Alex Cross Novels)","Dreamcatcher","Prey","The Thorn Birds","Sisterhood of the Traveling Pants","Dune (Remembering Tomorrow)","A Game of Thrones (A Song of Ice and Fire, Book 1)"
"Fast Food Nation: The Dark Side of the All-American Meal","The Killer Angels","Dune (Remembering Tomorrow)","The Bean Trees","The Guardian","The Dive From Clausen's Pier (Alex Awards)","Oryx and Crake","One Thousand White Women : The Journals of May Dodd: A Novel","Shopgirl","The Kitchen God's Wife"
"Cat &amp; Mouse (Alex Cross Novels)","The Blue Nowhere : A Novel","The Rescue","Naked","All I Need to Know I Learned from My Cat","The Killer Angels","Dune (Remembering Tomorrow)","Ellen Foster","It's Not About the Bike: My Journey Back to Life","Cane River"
"The Handmaid's Tale","Charlotte's Web (Trophy Newbery)","The Clan of the Cave Bear (Earth's Children (Paperback))","The Dogs of Babel (Today Show Book Club #12)","OLD MAN AND THE SEA","The Kitchen God's Wife","The Dive From Clausen's Pier (Alex Awards)","Oryx and Crake","The Wedding","Deception Point"
"The Prince of Tides","The Poisonwood Bible","ANGELA'S ASHES","Sphere","The Two Towers (The Lord of the Rings, Part 2)","The Return of the King (The Lord of the Rings, Part 3)","To Kill a Mockingbird","Anne of Green Gables (Anne of Green Gables Novels (Paperback))","Anne of Avonlea (Anne of Green Gables Novels (Paperback))","The Kitchen God's Wife"
"House of Leaves","Ahab's Wife: Or, The Star-Gazer: A Novel","Christmas Box (Christmas Box Trilogy)","Charlotte's Web (Trophy Newbery)","East of Eden (Oprah's Book Club)","Fortune's Rocks: A Novel","The Clan of the Cave Bear (Earth's Children (Paperback))","Seven Up (A Stephanie Plum Novel)","Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel)","M Is for Malice"
"The Blue Nowhere : A Novel","Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson","The Runaway Jury","The Gunslinger (The Dark Tower, Book 1)","The Catcher in the Rye","The Client","A Separate Peace","All I Really Need to Know","The Crimson Petal and the White","Gone with the Wind"
"Left Behind: A Novel of the Earth's Last Days (Left Behind #1)","Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies","A Prayer for Owen Meany","The Plains of Passage (Earth's Children (Paperback))","Message in a Bottle","Sea Swept (Quinn Brothers (Paperback))","Sanctuary","Jewels of the Sun (Irish Trilogy)","Heart of the Sea (Irish Trilogy)","The Lord of the Rings (Movie Art Cover)"
"Good Omens","The Fellowship of the Ring (The Lord of the Rings, Part 1)","Fast Food Nation: The Dark Side of the All-American Meal","Animal Farm","Anne of Avonlea (Anne of Green Gables Novels (Paperback))","The Color Purple","Anne of Green Gables (Anne of Green Gables Novels (Paperback))","Life of Pi","Perfume: The Story of a Murderer (Vintage International)","The Two Towers (The Lord of the Rings, Part 2)"
"The Liar's Club: A Memoir","Prodigal Summer","I Know This Much Is True (Oprah's Book Club)","Geek Love","Sphere","Harry Potter and the Prisoner of Azkaban (Book 3)","Harry Potter and the Goblet of Fire (Book 4)",NA,"Bridget Jones's Diary","Cold Sassy Tree"
"A Wrinkle In Time","Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))","Lamb : The Gospel According to Biff, Christ's Childhood Pal",NA,"Possession : A Romance","East of Eden (Oprah's Book Club)","Along Came a Spider (Alex Cross Novels)","Me Talk Pretty One Day","Deception Point","Galileo's Daughter: A Historical Memoir of Science, Faith, and Love"
"A Wrinkle In Time","One for the Money (Stephanie Plum Novels (Paperback))","High Five (A Stephanie Plum Novel)","Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel)","The Summerhouse","What to Expect When You're Expecting (Revised Edition)","The Reptile Room (A Series of Unfortunate Events, Book 2)","Intensity","The Witching Hour (Lives of the Mayfair Witches)","The Talisman"
"Animal Farm","East of Eden (Oprah's Book Club)","Girl with a Pearl Earring","The English Patient","Angela's Ashes (MMP) : A Memoir","The Summons","Contact","The Killer Angels","The Catcher in the Rye","The Color Purple"
"A Walk to Remember","Here on Earth (Oprah's Book Club)","The Runaway Jury","The Gunslinger (The Dark Tower, Book 1)","BAG OF BONES : A NOVEL","Bridget Jones's Diary","Quentins","The Summons","East of Eden (Oprah's Book Club)","Fortune's Rocks: A Novel"
"Timeline","Seven Up (A Stephanie Plum Novel)","Writ of Execution","Last Man Standing","The Millionaires","Code to Zero","One Door Away from Heaven","Brave New World","The Bad Beginning (A Series of Unfortunate Events, Book 1)","The Reptile Room (A Series of Unfortunate Events, Book 2)"
"The Blue Nowhere : A Novel","Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson","Where the Red Fern Grows","The Return of the King (The Lord of the Rings, Part 3)","The Bell Jar : A Novel (Perennial Classics)","To Kill a Mockingbird","The Stand: Complete and Uncut","The Honk and Holler Opening Soon","Watership Down","Animal Farm"
"She's Come Undone (Oprah's Book Club (Paperback))","Succulent Wild Woman","Life of Pi","A Prayer for Owen Meany","Lucky : A Memoir","I Know This Much Is True","Charlotte's Web (Trophy Newbery)","Dude, Where's My Country?","Message in a Bottle","Night"
"To Kill a Mockingbird","Where the Red Fern Grows","STONES FROM THE RIVER","Bee Season: A Novel","Pope Joan (Ballantine Reader's Circle)","The Secret Life of Bees","The Book of Ruth (Oprah's Book Club (Paperback))","Good in Bed","Nickel and Dimed: On (Not) Getting By in America","The Alchemist: A Fable About Following Your Dream"
"The Grapes of Wrath","The Hot Zone","The Outsiders","The Stand: Complete and Uncut","The Sweet Potato Queens' Book of Love","Lolita (Vintage International)","It Was on Fire When I Lay Down on It","The Book of Questions","Middlesex: A Novel","Watership Down"
"Three Junes","Seabiscuit: An American Legend","To Kill a Mockingbird","The Vagina Monologues: The V-Day Edition","Secret History : A Novel","The Fourth Hand","Holes (Yearling Newbery)","Lucky","The Reptile Room (A Series of Unfortunate Events, Book 2)","The Hobbit : The Enchanting Prelude to The Lord of the Rings"
"The Talisman","Lord of the Flies","The Bridge Across Forever","Possession : A Romance","The Bonesetter's Daughter","Jack &amp; Jill (Alex Cross Novels)","It Was on Fire When I Lay Down on It","Chocolat","Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel)","To the Nines: A Stephanie Plum Novel"
"She's Come Undone (Oprah's Book Club)","Where the Red Fern Grows","Suzanne's Diary for Nicholas","A Game of Thrones (A Song of Ice and Fire, Book 1)","Skeleton Crew","Harry Potter and the Prisoner of Azkaban (Book 3)","Daughter of Fortune: A Novel","Beach Music","The Boy Next Door","Pope Joan (Ballantine Reader's Circle)"
"All I Really Need to Know","She's Come Undone (Oprah's Book Club)","A Time to Kill","Lord of the Flies","Animal Farm","Saint Maybe","Beach Music","The Bonesetter's Daughter","Night","The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback))"
"The Rainmaker","Redwall (Redwall, Book 1)","Along Came a Spider (Alex Cross Novels)","Dreamcatcher","Island of the Blue Dolphins","Under the Banner of Heaven : A Story of Violent Faith","A Fine Balance","A Time to Kill","Prey","Sisterhood of the Traveling Pants"
"Peace Like a River","Wicked: The Life and Times of the Wicked Witch of the West","Lamb : The Gospel According to Biff, Christ's Childhood Pal","Sister of My Heart","Roses Are Red (Alex Cross Novels)","Jitterbug Perfume","Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation","All Quiet on the Western Front","Where the Red Fern Grows","Snow Crash"
"The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure","The Bridge Across Forever","The Gunslinger (The Dark Tower, Book 1)","Possession : A Romance","It Was on Fire When I Lay Down on It","Suzanne's Diary for Nicholas","Man and Boy: A Novel","Every Breath You Take : A True Story of Obsession, Revenge, and Murder","Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson","The Tao of Pooh"
"One True Thing","The Bell Jar : A Novel (Perennial Classics)","The Stand: Complete and Uncut","The Lovely Bones","Seabiscuit","Postmortem","Angela's Ashes: A Memoir","Mutant Message Down Under","One Thousand White Women : The Journals of May Dodd: A Novel","Shopgirl"
"One for the Money (A Stephanie Plum Novel)","Brave New World","Fast Food Nation: The Dark Side of the All-American Meal","Cold Mountain : A Novel","Jitterbug Perfume","I Know This Much Is True (Oprah's Book Club)","A Prayer for Owen Meany","Angela's Ashes: A Memoir","Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies","The Hot Zone"
"The Nanny Diaries: A Novel","The Giver (21st Century Reference)","The Notebook","A Man Named Dave: A Story of Triumph and Forgiveness","Harry Potter and the Sorcerer's Stone (Book 1)","A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash","The Other Boleyn Girl","The Time Traveler's Wife (Today Show Book Club #15)","Dragonfly in Amber","The Eyes of the Dragon"
"Under the Banner of Heaven : A Story of Violent Faith","The Fellowship of the Ring (The Lord of the Rings, Part 1)","A Fine Balance","One Hundred Years of Solitude","Chocolat","Round Ireland With a Fridge","The Dogs of Babel (Today Show Book Club #12)","Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback))","Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson","The Rescue"
"The Bean Trees","The Kitchen God's Wife","Breath, Eyes, Memory","The Rescue","The Book of Questions","What to Expect When You're Expecting (Revised Edition)","Watership Down","Animal Farm","Anne of Green Gables (Anne of Green Gables Novels (Paperback))","Anne of Avonlea (Anne of Green Gables Novels (Paperback))"
"I Know This Much Is True","The Book of Questions","What to Expect When You're Expecting (Revised Edition)","The Godfather","Perfume: The Story of a Murderer (Vintage International)","A Year in Provence","Secret History","High Fidelity","Harry Potter and the Order of the Phoenix (Book 5)","Daughter of Fortune: A Novel"
"Quentins","Skeleton Crew","The Drawing of the Three (The Dark Tower, Book 2)","The Eyes of the Dragon","Seize the Night","The Eye of the World (The Wheel of Time, Book 1)","Seabiscuit",NA,"The Notebook","The Guardian"
"She's Come Undone (Oprah's Book Club)","The Street Lawyer","The Summons","Charlotte's Web (Trophy Newbery)","Fortune's Rocks: A Novel","The Last Time They Met : A Novel","Atonement : A Novel","It's Not About the Bike: My Journey Back to Life","Cane River","Falling Angels"
"The Blue Nowhere : A Novel","The Poisonwood Bible: A Novel","Envy","Year of Wonders","Atonement : A Novel","Outlander","Dragonfly in Amber","Evening Class","Tara Road","To Kill a Mockingbird"
"The Secret Life of Bees","Flowers In The Attic (Dollanganger)","Bel Canto: A Novel","The Purpose-Driven Life: What on Earth Am I Here For?","The Hobbit : The Enchanting Prelude to The Lord of the Rings","Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson","The Partner","Message in a Bottle","Sanctuary","The Lord of the Rings (Movie Art Cover)"
"The Rescue","The Street Lawyer","The Summons","Contact","Charlotte's Web (Trophy Newbery)","East of Eden (Oprah's Book Club)","Nickel and Dimed: On (Not) Getting By in America","The Clan of the Cave Bear (Earth's Children (Paperback))","Angela's Ashes (MMP) : A Memoir","To Kill a Mockingbird"
"Prodigal Summer","I Know This Much Is True (Oprah's Book Club)","Geek Love","The Dive From Clausen's Pier (Alex Awards)","Oryx and Crake","Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel)","Seven Up (A Stephanie Plum Novel)","The Wedding","Seabiscuit: An American Legend","Deception Point"
NA,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation","The Pillars of the Earth","Lonesome Dove","Seize the Night","Lightning","The Tommyknockers","Loves Music, Loves to Dance","Harry Potter and the Chamber of Secrets (Book 2)","Harry Potter and the Goblet of Fire (Book 4)"
"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)","Island of the Blue Dolphins","Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies","The Hot Zone","The Phantom Tollbooth","Flowers In The Attic (Dollanganger)","Suzanne's Diary for Nicholas","Fahrenheit 451","Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson","Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel)"
"Jemima J: A Novel About Ugly Ducklings and Swans","The Fellowship of the Ring (The Lord of the Rings, Part 1)","House of Sand and Fog","The Devil's Teardrop","A Tree Grows in Brooklyn","The Alchemist: A Fable About Following Your Dream","White Teeth: A Novel","The Millionaires","The Wasp Factory","Neuromancer (Remembering Tomorrow)"
"The Dogs of Babel (Today Show Book Club #12)","A Prayer for Owen Meany","The Hours: A Novel","Notes From a Small Planet","Chocolat","The Saving Graces: A Novel","Chocolat","Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel)","Silence of the Lambs","Hannibal"
"The Tao of Pooh","Dune (Remembering Tomorrow)","Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover))","Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life","Dance upon the Air (Three Sisters Island Trilogy)","The Bell Jar : A Novel (Perennial Classics)","All I Really Need to Know","East of Eden (Oprah's Book Club)","The Fellowship of the Ring (The Lord of the Rings, Part 1)","Island of the Blue Dolphins (Laurel Leaf Books)"
"The Lovely Bones","The Firm","A Time to Kill","The Rainmaker","Redwall (Redwall, Book 1)","Along Came a Spider (Alex Cross Novels)","Dreamcatcher","Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation","The Tao of Pooh","Lamb : The Gospel According to Biff, Christ's Childhood Pal"
"Notes from a Small Island","The Mulberry Tree","Deja Dead","Dune (Remembering Tomorrow)","The Gunslinger (The Dark Tower, Book 1)","The Two Dead Girls (Green Mile Series)","On Writing","Girl with a Pearl Earring","Cat &amp; Mouse (Alex Cross Novels)","When the Wind Blows"
"The Plains of Passage (Earth's Children (Paperback))","Barrel Fever : Stories and Essays (Barrel Fever)","The Vagina Monologues: The V-Day Edition","Secret History : A Novel","The Lovely Bones","Seabiscuit","Postmortem","Angela's Ashes: A Memoir","Little Altars Everywhere: A Novel","Mortal Prey"
"I Know This Much Is True","Soul Harvest: The World Takes Sides (Left Behind No. 4)","1st to Die: A Novel","Harry Potter and the Order of the Phoenix (Book 5)","Daughter of Fortune: A Novel","Beach Music","The Bonesetter's Daughter","Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players","To the Nines: A Stephanie Plum Novel","Seven Up (A Stephanie Plum Novel)"
"The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries)","Bridge to Terabithia","Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death","Redwall (Redwall, Book 1)","Stranger in a Strange Land (Remembering Tomorrow)","Bel Canto: A Novel","Outlander","Brave New World","The Reptile Room (A Series of Unfortunate Events, Book 2)","Silence of the Lambs"
"Seabiscuit: An American Legend","The Angel of Darkness","Holes (Yearling Newbery)","Lucky","Perfume: The Story of a Murderer (Vintage International)","The Saving Graces: A Novel","Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson","A Time to Kill","The Hours: A Novel","The Virgin Suicides"
"The Color Purple","Dragonfly in Amber","Skeleton Crew","Seize the Night","The Eye of the World (The Wheel of Time, Book 1)","Fast Food Nation: The Dark Side of the All-American Meal","The Lovely Bones","Postmortem","Eyes of the Dragon","Saint Maybe"
"The Green Mile","Guns, Germs, and Steel: The Fates of Human Societies","The Poisonwood Bible","ANGELA'S ASHES","Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",NA,"Eyes of Prey","To Kill a Mockingbird","The General's Daughter","Good in Bed"
"Bastard Out of Carolina","Harry Potter and the Order of the Phoenix (Book 5)","The Mulberry Tree","The Secret Life of Bees","Waiting (Vintage International)","Night","Four Blind Mice","Portrait in Death","Pope Joan (Ballantine Reader's Circle)","Cat &amp; Mouse (Alex Cross Novels)"
"Big Stone Gap: A Novel (Ballantine Reader's Circle)","Big Cherry Holler: A Big Stone Gap Novel (Ballantine Reader's Circle)","Dune (Remembering Tomorrow)","The Bonesetter's Daughter","The Death of Vishnu: A Novel","Bel Canto: A Novel","Wicked: The Life and Times of the Wicked Witch of the West","The Samurai's Garden : A Novel","To the Nines: A Stephanie Plum Novel","The Amazing Adventures of Kavalier &amp; Clay"
"Three Junes","Seabiscuit: An American Legend","Where the Red Fern Grows","STONES FROM THE RIVER","Guns, Germs, and Steel: The Fates of Human Societies","The Book of Questions","What to Expect When You're Expecting (Revised Edition)","Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson","Dragonfly in Amber","Skeleton Crew"
"Into Thin Air : A Personal Account of the Mt. Everest Disaster","Guilty Pleasures (Anita Blake Vampire Hunter (Paperback))","Lucky Man: A Memoir","Harry Potter and the Order of the Phoenix (Book 5)","Little Altars Everywhere: A Novel","The Nanny Diaries: A Novel","The Remains of the Day (Vintage International)","The Lake House","The Golden Compass (His Dark Materials, Book 1)","The Door to December"
"The Great Gatsby","Left Behind: A Novel of the Earth's Last Days (Left Behind #1)","I Know This Much Is True (Oprah's Book Club)","The Vagina Monologues: The V-Day Edition","Gerald's Game","Siddhartha","It Was on Fire When I Lay Down on It","The Death of Vishnu: A Novel","Bel Canto: A Novel","Wicked: The Life and Times of the Wicked Witch of the West"
"The Dive From Clausen's Pier (Alex Awards)","Prey","The Thorn Birds","Sisterhood of the Traveling Pants","The Tao of Pooh","Lamb : The Gospel According to Biff, Christ's Childhood Pal","The Cat in the Hat","The Phantom Tollbooth","A Wrinkle In Time","A Wrinkle in Time"
"Deja Dead",NA,"I Know This Much Is True (Oprah's Book Club)","The Beach House","The Bridges of Madison County","The Da Vinci Code","The Client","Two for the Dough","Angels &amp; Demons","Lonesome Dove"
"The Horse Whisperer","One True Thing","Stranger in a Strange Land (Remembering Tomorrow)","Into Thin Air : A Personal Account of the Mt. Everest Disaster","Shopaholic Takes Manhattan (Summer Display Opportunity)","Jemima J: A Novel About Ugly Ducklings and Swans","The Vampire Lestat (Vampire Chronicles, Book II)","Bookends : A Novel","A Painted House","STONES FROM THE RIVER"
"Lolita (Vintage International)","OLD MAN AND THE SEA","The Book of Questions","The Drawing of the Three (The Dark Tower, Book 2)","The Eyes of the Dragon","Seize the Night","The Eye of the World (The Wheel of Time, Book 1)","The Talisman","Into Thin Air : A Personal Account of the Mt. Everest Disaster","The Reptile Room (A Series of Unfortunate Events, Book 2)"
"Lucky","The Eight","Lamb : The Gospel According to Biff, Christ's Childhood Pal","The Fellowship of the Ring (The Lord of the Rings, Part 1)","The Return of the King (The Lord of the Rings, Part 3)","The Two Dead Girls (Green Mile Series)","On Writing","Island of the Blue Dolphins","Skipping Christmas","The Claiming of Sleeping Beauty (Erotic Adventures of Sleeping Beauty)"
"She's Come Undone (Oprah's Book Club)","I Know This Much Is True","The Eyre Affair: A Novel","Charlotte's Web (Trophy Newbery)","East of Eden (Oprah's Book Club)","The Clan of the Cave Bear (Earth's Children (Paperback))","Perfume: The Story of a Murderer (Vintage International)","Daughter of Fortune: A Novel","Beach Music","The Bonesetter's Daughter"
"Fried Green Tomatoes at the Whistle Stop Cafe","Milkrun","To Kill a Mockingbird","A Separate Peace","Welcome to the World, Baby Girl!","Tears of the Giraffe (No.1 Ladies Detective Agency)","The Da Vinci Code","The Stand: Complete and Uncut","Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))","The Fellowship of the Ring (The Lord of the Rings, Part 1)"
"East of Eden (Oprah's Book Club)","A Tree Grows in Brooklyn","The Alchemist: A Fable About Following Your Dream","Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel)","Red Dragon","The Five People You Meet in Heaven","Seven Up (A Stephanie Plum Novel)","Seabiscuit: An American Legend","The Murder Book","The Liar's Club: A Memoir"
"One True Thing","The Bell Jar : A Novel (Perennial Classics)","The Stand: Complete and Uncut","Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))","Lamb : The Gospel According to Biff, Christ's Childhood Pal","East of Eden (Oprah's Book Club)","Along Came a Spider (Alex Cross Novels)","Galileo's Daughter: A Historical Memoir of Science, Faith, and Love","Seabiscuit","To Kill a Mockingbird"
"Cat &amp; Mouse (Alex Cross Novels)","The Green Mile","The Blue Nowhere : A Novel","Naked","Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right","The Killer Angels","Dune (Remembering Tomorrow)","A Time to Kill","The Poisonwood Bible: A Novel","One Thousand White Women : The Journals of May Dodd: A Novel"
"Where the Red Fern Grows",NA,"STONES FROM THE RIVER","The Book of Questions","What to Expect When You're Expecting (Revised Edition)","To Kill a Mockingbird","The Poisonwood Bible: A Novel","Middlesex: A Novel","The Book of Ruth (Oprah's Book Club (Paperback))","Nickel and Dimed: On (Not) Getting By in America"
"The Bean Trees","A Walk to Remember","BAG OF BONES : A NOVEL","Cold Sassy Tree","Ella Minnow Pea: A Novel in Letters","Under the Tuscan Sun","Skeleton Crew","The Bad Beginning (A Series of Unfortunate Events, Book 1)","The Reptile Room (A Series of Unfortunate Events, Book 2)","The Rainmaker"
